canonical_source,duplicate_source,run_key_with_machine,series_digest
results/drobyshev/dynamic_20260512_1205.json,results/drobyshev/dynamic_20260519_1126.json,experiment|dfleiden-dynamic|dfleiden|dynamic|None|None|None|None|None|None|None|None|dyn_cora|False|999:10|cn69,7a455e8f83aba698634ad37b6301037ad2e8bf9d
results/drobyshev/dynamic_20260512_1205.json,results/drobyshev/dynamic_20260519_1126.json,experiment|dfleiden-dynamic|dfleiden|dynamic|None|None|None|None|None|None|None|None|dyn_acm|False|999:10|cn69,2f985695d2e64916ff264d341492dc83434d5826
results/drobyshev/dynamic_20260512_1205.json,results/drobyshev/dynamic_20260519_1126.json,experiment|dfleiden-dynamic|dfleiden|dynamic|None|None|None|None|None|None|None|None|dyn_citeseer|False|999:10|cn69,aa8e1c9ba6225cd3569fd7d2903c5baf886255f9
results/drobyshev/smart_20260512_1207.json,results/drobyshev/smart_20260519_0124.json,experiment|leidenalg-L:3-r:1-gpu|leidenalg|smart|None|3|1|None|gpu|None|None|None|dyn_acm|False|999:10|cn69,93c36fd06d0feed23c4be734b0b115fb9ad204ef
results/drobyshev/dynamic_20260512_1205.json,results/konovalov/sym_dfleiden_ds_20260518_1128.json,experiment|dfleiden-dynamic|dfleiden|dynamic|None|None|None|None|None|None|None|None|dyn_cora|False|999:10|cn69,7a455e8f83aba698634ad37b6301037ad2e8bf9d
results/drobyshev/dynamic_20260512_1205.json,results/konovalov/sym_dfleiden_ds_20260518_1128.json,experiment|dfleiden-dynamic|dfleiden|dynamic|None|None|None|None|None|None|None|None|dyn_acm|False|999:10|cn69,2f985695d2e64916ff264d341492dc83434d5826
results/drobyshev/dynamic_20260519_1126.json,results/konovalov/sym_dfleiden_ds_20260518_1128.json,experiment|dfleiden-dynamic|dfleiden|dynamic|None|None|None|None|None|None|None|None|patent|True|999:10|cn69,0ea1475fd7bf9753821cb0e9f7f552c4ad03fb96
results/drobyshev/dynamic-smart_20260523_0933.json,results/konovalov/sym_dfleiden_ds_20260518_1128.json,experiment|dfleiden-L:3-r:1-gpu|dfleiden|smart|None|3|1|None|gpu|None|None|None|patent|True|999:10|cn69,8d0ed5720683da579910947b9ae585914341df20
results/drobyshev/dynamic_20260512_1205.json,results/konovalov/sym_dfleiden_ds_20260518_1129.json,experiment|dfleiden-dynamic|dfleiden|dynamic|None|None|None|None|None|None|None|None|dyn_cora|False|999:10|cn69,7a455e8f83aba698634ad37b6301037ad2e8bf9d
results/drobyshev/dynamic_20260512_1205.json,results/konovalov/sym_dfleiden_ds_20260518_1129.json,experiment|dfleiden-dynamic|dfleiden|dynamic|None|None|None|None|None|None|None|None|dyn_acm|False|999:10|cn69,2f985695d2e64916ff264d341492dc83434d5826
