affected_vertices_max,affected_vertices_mean,affected_vertices_pct_max,affected_vertices_pct_mean,batch_suffix,batches,change_pct_of_total_edges,coms_file,dataset,display_regime,family,header_edges,header_nodes,hub_incident_edge_pct_mean,initial_edges,intra_community_edge_pct_mean,max_changes,max_node_id,metadata_avr_deg,metadata_dynamic_mode,metadata_hub_avr_deg,metadata_hub_fraction,metadata_k,metadata_max_deg,metadata_n,metadata_nonhub_avr_deg,min_node_id,out_file,planted_hub_endpoint_pct_mean,regime,seed,update_edges_max,update_edges_mean,update_edges_min,updates
2649,2618.8888888888887,2.649,2.618888888888889,10_batches,10,0.049966746268862446,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc1450-42/coms.dsbm-community-1024-58-mc1450-42.10_batches.npz,dsbm-community-1024-58-mc1450-42,community-internal,dsbm-community-1024-58,2901930,100000,2.1226053639846745,2888880,100.0,1450,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc1450-42/out.dsbm-community-1024-58-mc1450-42.10_batches,1.064985571125913,community,42,1450,1450,1450,9
12815,12765,12.814999999999998,12.765,10_batches,10,0.4996674626886245,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc14500-42/coms.dsbm-community-1024-58-mc14500-42.10_batches.npz,dsbm-community-1024-58-mc14500-42,community-internal,dsbm-community-1024-58,2901930,100000,2.021455938697318,2771430,100.0,14500,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc14500-42/out.dsbm-community-1024-58-mc14500-42.10_batches,1.049755239395799,community,42,14500,14500,14500,9
571,568.1111111111111,0.571,0.5681111111111111,10_batches,10,0.00999334925377249,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc290-42/coms.dsbm-community-1024-58-mc290-42.10_batches.npz,dsbm-community-1024-58-mc290-42,community-internal,dsbm-community-1024-58,2901930,100000,2.0689655172413794,2899320,100.0,290,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc290-42/out.dsbm-community-1024-58-mc290-42.10_batches,1.017954123218694,community,42,290,290,290,9
4813,4749.111111111111,4.813,4.7491111111111115,10_batches,10,0.09993349253772489,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc2900-42/coms.dsbm-community-1024-58-mc2900-42.10_batches.npz,dsbm-community-1024-58-mc2900-42,community-internal,dsbm-community-1024-58,2901930,100000,2.10727969348659,2875830,100.0,2900,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc2900-42/out.dsbm-community-1024-58-mc2900-42.10_batches,1.0598376722910376,community,42,2900,2900,2900,9
14784,14588.75,14.784,14.588750000000001,10_batches,9,0.999334925377249,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc29000-42/coms.dsbm-community-1024-58-mc29000-42.10_batches.npz,dsbm-community-1024-58-mc29000-42,community-internal,dsbm-community-1024-58,2901930,100000,2.052593380556512,2682106,100.0,29000,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc29000-42/out.dsbm-community-1024-58-mc29000-42.10_batches,1.037985322884469,community,42,29000,27478,16824,8
2223,2194.1111111111113,2.223,2.1941111111111113,10_batches,10,0.049966746268862446,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc1450-42/coms.dsbm-hubs-1024-58-mc1450-42.10_batches.npz,dsbm-hubs-1024-58-mc1450-42,hubs,dsbm-hubs-1024-58,2901930,100000,1.8467432950191571,2888880,50.03065134099617,1450,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc1450-42/out.dsbm-hubs-1024-58-mc1450-42.10_batches,0.9870126822086056,hubs,42,1450,1450,1450,9
14421,14385.666666666666,14.421000000000001,14.385666666666665,10_batches,10,0.4996674626886245,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc14500-42/coms.dsbm-hubs-1024-58-mc14500-42.10_batches.npz,dsbm-hubs-1024-58-mc14500-42,hubs,dsbm-hubs-1024-58,2901930,100000,1.7839080459770116,2771430,50.47816091954023,14500,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc14500-42/out.dsbm-hubs-1024-58-mc14500-42.10_batches,0.9538296582759281,hubs,42,14500,14500,14500,9
552,542.4444444444445,0.5519999999999999,0.5424444444444444,10_batches,10,0.00999334925377249,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc290-42/coms.dsbm-hubs-1024-58-mc290-42.10_batches.npz,dsbm-hubs-1024-58-mc290-42,hubs,dsbm-hubs-1024-58,2901930,100000,2.1839080459770117,2899320,50.689655172413794,290,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc290-42/out.dsbm-hubs-1024-58-mc290-42.10_batches,1.1673852790800932,hubs,42,290,290,290,9
3800,3782,3.8,3.782,10_batches,10,0.09993349253772489,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc2900-42/coms.dsbm-hubs-1024-58-mc2900-42.10_batches.npz,dsbm-hubs-1024-58-mc2900-42,hubs,dsbm-hubs-1024-58,2901930,100000,1.8314176245210727,2875830,50.417624521072796,2900,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc2900-42/out.dsbm-hubs-1024-58-mc2900-42.10_batches,0.9723467355202706,hubs,42,2900,2900,2900,9
26035,25965.333333333332,26.035000000000004,25.965333333333334,10_batches,10,0.999334925377249,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc29000-42/coms.dsbm-hubs-1024-58-mc29000-42.10_batches.npz,dsbm-hubs-1024-58-mc29000-42,hubs,dsbm-hubs-1024-58,2901930,100000,1.7796934865900382,2640930,50.49770114942529,29000,100000,58,hubs,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-hubs-1024-58/dsbm-hubs-1024-58-mc29000-42/out.dsbm-hubs-1024-58-mc29000-42.10_batches,0.982498135942446,hubs,42,29000,29000,29000,9
