affected_vertices_max,affected_vertices_mean,affected_vertices_pct_max,affected_vertices_pct_mean,batch_suffix,batches,change_pct_of_total_edges,coms_file,dataset,display_regime,family,header_edges,header_nodes,hub_incident_edge_pct_mean,initial_edges,intra_community_edge_pct_mean,max_changes,max_node_id,metadata_avr_deg,metadata_dynamic_mode,metadata_hub_avr_deg,metadata_hub_fraction,metadata_k,metadata_max_deg,metadata_n,metadata_nonhub_avr_deg,min_node_id,out_file,planted_hub_endpoint_pct_mean,regime,seed,update_edges_max,update_edges_mean,update_edges_min,updates
2649,2613.080808080808,2.649,2.6130808080808077,100_batches,100,0.049966746268862446,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc1450-42/coms.dsbm-community-1024-58-mc1450-42.100_batches.npz,dsbm-community-1024-58-mc1450-42,community-internal,dsbm-community-1024-58,2901930,100000,2.027168234064786,2758380,100.0,1450,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc1450-42/out.dsbm-community-1024-58-mc1450-42.100_batches,1.0266775142805213,community,42,1450,1450,1450,99
2649,2618.8888888888887,2.649,2.618888888888889,10_batches,10,0.049966746268862446,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc1450-42/coms.dsbm-community-1024-58-mc1450-42.10_batches.npz,dsbm-community-1024-58-mc1450-42,community-internal,dsbm-community-1024-58,2901930,100000,2.1226053639846745,2888880,100.0,1450,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc1450-42/out.dsbm-community-1024-58-mc1450-42.10_batches,1.064985571125913,community,42,1450,1450,1450,9
2623,2613.5,2.6229999999999998,2.6134999999999997,5_batches,5,0.049966746268862446,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc1450-42/coms.dsbm-community-1024-58-mc1450-42.5_batches.npz,dsbm-community-1024-58-mc1450-42,community-internal,dsbm-community-1024-58,2901930,100000,2.189655172413793,2896130,100.0,1450,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc1450-42/out.dsbm-community-1024-58-mc1450-42.5_batches,1.0809850479658385,community,42,1450,1450,1450,4
12815,12216.9375,12.814999999999998,12.2169375,100_batches,17,0.4996674626886245,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc14500-42/coms.dsbm-community-1024-58-mc14500-42.100_batches.npz,dsbm-community-1024-58-mc14500-42,community-internal,dsbm-community-1024-58,2901930,100000,2.0424498486557066,2682106,100.0,14500,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc14500-42/out.dsbm-community-1024-58-mc14500-42.100_batches,1.046006117679875,community,42,14500,13739,2324,16
12815,12765,12.814999999999998,12.765,10_batches,10,0.4996674626886245,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc14500-42/coms.dsbm-community-1024-58-mc14500-42.10_batches.npz,dsbm-community-1024-58-mc14500-42,community-internal,dsbm-community-1024-58,2901930,100000,2.021455938697318,2771430,100.0,14500,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc14500-42/out.dsbm-community-1024-58-mc14500-42.10_batches,1.049755239395799,community,42,14500,14500,14500,9
12797,12758,12.797,12.758,5_batches,5,0.4996674626886245,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc14500-42/coms.dsbm-community-1024-58-mc14500-42.5_batches.npz,dsbm-community-1024-58-mc14500-42,community-internal,dsbm-community-1024-58,2901930,100000,2.110344827586207,2843930,100.0,14500,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc14500-42/out.dsbm-community-1024-58-mc14500-42.5_batches,1.067965563262976,community,42,14500,14500,14500,4
574,567.9494949494949,0.5740000000000001,0.5679494949494949,100_batches,100,0.00999334925377249,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc290-42/coms.dsbm-community-1024-58-mc290-42.100_batches.npz,dsbm-community-1024-58-mc290-42,community-internal,dsbm-community-1024-58,2901930,100000,2.075931731104145,2873220,100.0,290,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc290-42/out.dsbm-community-1024-58-mc290-42.100_batches,1.0369928019797148,community,42,290,290,290,99
571,568.1111111111111,0.571,0.5681111111111111,10_batches,10,0.00999334925377249,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc290-42/coms.dsbm-community-1024-58-mc290-42.10_batches.npz,dsbm-community-1024-58-mc290-42,community-internal,dsbm-community-1024-58,2901930,100000,2.0689655172413794,2899320,100.0,290,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc290-42/out.dsbm-community-1024-58-mc290-42.10_batches,1.017954123218694,community,42,290,290,290,9
570,567.75,0.5700000000000001,0.56775,5_batches,5,0.00999334925377249,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc290-42/coms.dsbm-community-1024-58-mc290-42.5_batches.npz,dsbm-community-1024-58-mc290-42,community-internal,dsbm-community-1024-58,2901930,100000,2.7586206896551726,2900770,100.0,290,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc290-42/out.dsbm-community-1024-58-mc290-42.5_batches,1.3664763240594442,community,42,290,290,290,4
4819,4737.565789473684,4.819,4.737565789473684,100_batches,77,0.09993349253772489,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc2900-42/coms.dsbm-community-1024-58-mc2900-42.100_batches.npz,dsbm-community-1024-58-mc2900-42,community-internal,dsbm-community-1024-58,2901930,100000,2.041241710424795,2682106,100.0,2900,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc2900-42/out.dsbm-community-1024-58-mc2900-42.100_batches,1.0359064602264794,community,42,2900,2892.4210526315787,2324,76
4813,4749.111111111111,4.813,4.7491111111111115,10_batches,10,0.09993349253772489,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc2900-42/coms.dsbm-community-1024-58-mc2900-42.10_batches.npz,dsbm-community-1024-58-mc2900-42,community-internal,dsbm-community-1024-58,2901930,100000,2.10727969348659,2875830,100.0,2900,100000,58,community,512,0.01,32,1024,100000,53.41414141414142,1,datasets-sbm/dsbm-community-1024-58/dsbm-community-1024-58-mc2900-42/out.dsbm-community-1024-58-mc2900-42.10_batches,1.0598376722910376,community,42,2900,2900,2900,9
